CloseAsk,CloseBid,HighAsk,HighBid,LowAsk,LowBid,OpenAsk,OpenBid,Time
1.08549,1.08529,1.08607,1.08587,1.08548,1.08512,1.08576,1.08556,2024-03-04T20:00:00.000000Z
1.08553,1.08533,1.08565,1.08545,1.08485,1.08465,1.08549,1.08529,2024-03-05T00:00:00.000000Z
1.08475,1.08455,1.08555,1.08535,1.08424,1.08404,1.08555,1.08535,2024-03-05T04:00:00.000000Z
1.08509,1.08489,1.08569,1.08549,1.0844,1.0842,1.08477,1.08457,2024-03-05T08:00:00.000000Z
1.08724,1.08704,1.08774,1.08754,1.08412,1.08393,1.0851,1.0849,2024-03-05T12:00:00.000000Z
1.08539,1.08519,1.0873,1.08711,1.08523,1.08503,1.08724,1.08704,2024-03-05T16:00:00.000000Z
1.08565,1.08545,1.08607,1.08581,1.085,1.0848,1.08538,1.08518,2024-03-05T20:00:00.000000Z
1.08517,1.08497,1.08566,1.08547,1.08432,1.08411,1.08565,1.08545,2024-03-06T00:00:00.000000Z
1.08629,1.08609,1.08675,1.08655,1.08504,1.08484,1.08518,1.08498,2024-03-06T04:00:00.000000Z
1.08767,1.08747,1.08807,1.08787,1.08601,1.08581,1.08629,1.08609,2024-03-06T08:00:00.000000Z
1.09062,1.09042,1.09098,1.09078,1.08684,1.08664,1.08767,1.08747,2024-03-06T12:00:00.000000Z
1.08978,1.08958,1.09164,1.09144,1.08943,1.08923,1.09063,1.09043,2024-03-06T16:00:00.000000Z
1.09004,1.08984,1.09026,1.09006,1.08938,1.08918,1.08977,1.08957,2024-03-06T20:00:00.000000Z
1.09016,1.08996,1.09085,1.09065,1.08945,1.08925,1.09005,1.08985,2024-03-07T00:00:00.000000Z
1.08948,1.08928,1.09068,1.09048,1.08923,1.08903,1.09017,1.08997,2024-03-07T04:00:00.000000Z
1.08952,1.08932,1.09038,1.09018,1.08886,1.08866,1.08949,1.08929,2024-03-07T08:00:00.000000Z
1.09311,1.09291,1.0932,1.093,1.08686,1.08666,1.08951,1.08931,2024-03-07T12:00:00.000000Z
1.09479,1.09459,1.09498,1.09478,1.09255,1.09235,1.0931,1.0929,2024-03-07T16:00:00.000000Z
1.09522,1.09502,1.09526,1.09506,1.09435,1.09415,1.09479,1.09459,2024-03-07T20:00:00.000000Z
1.09484,1.09464,1.09566,1.09547,1.09452,1.09432,1.09523,1.09503,2024-03-08T00:00:00.000000Z
1.09348,1.09328,1.09522,1.09502,1.09327,1.09307,1.09484,1.09464,2024-03-08T04:00:00.000000Z
1.09358,1.09338,1.09399,1.09379,1.0927,1.0925,1.09347,1.09327,2024-03-08T08:00:00.000000Z
1.09619,1.09599,1.09822,1.09802,1.09194,1.09169,1.09357,1.09337,2024-03-08T12:00:00.000000Z
1.09427,1.09407,1.09623,1.09603,1.09345,1.09325,1.0962,1.096,2024-03-08T16:00:00.000000Z
1.09392,1.09368,1.09449,1.09429,1.09355,1.09335,1.09426,1.09406,2024-03-08T20:00:00.000000Z
1.09507,1.09342,1.09692,1.09469,1.0935,1.09302,1.09692,1.09345,2024-03-10T16:00:00.000000Z
1.09439,1.09419,1.09509,1.09466,1.0937,1.09314,1.09507,1.0934,2024-03-10T20:00:00.000000Z
1.09425,1.09405,1.09476,1.09456,1.09383,1.09363,1.09438,1.09418,2024-03-11T00:00:00.000000Z
1.09434,1.09414,1.09484,1.09464,1.09364,1.09344,1.09424,1.09404,2024-03-11T04:00:00.000000Z
1.0944,1.0942,1.0949,1.0947,1.09341,1.09321,1.09433,1.09413,2024-03-11T08:00:00.000000Z
1.09283,1.09263,1.09443,1.09423,1.09156,1.09136,1.0944,1.0942,2024-03-11T12:00:00.000000Z
1.09273,1.09253,1.09314,1.09294,1.09192,1.09172,1.09284,1.09264,2024-03-11T16:00:00.000000Z
1.09317,1.09297,1.09322,1.09302,1.09229,1.09204,1.09274,1.09254,2024-03-11T20:00:00.000000Z
1.09372,1.09352,1.09391,1.09371,1.09278,1.09258,1.09318,1.09298,2024-03-12T00:00:00.000000Z
1.09332,1.09312,1.09405,1.09385,1.09327,1.09307,1.09372,1.09352,2024-03-12T04:00:00.000000Z
1.09346,1.09326,1.09365,1.09345,1.09223,1.09203,1.09331,1.09311,2024-03-12T08:00:00.000000Z
1.09186,1.09166,1.09451,1.09431,1.09033,1.09016,1.09347,1.09327,2024-03-12T12:00:00.000000Z
1.09268,1.09248,1.09269,1.09249,1.09138,1.09118,1.09186,1.09166,2024-03-12T16:00:00.000000Z
1.09278,1.09258,1.09301,1.09281,1.09259,1.09239,1.09268,1.09248,2024-03-12T20:00:00.000000Z
1.09287,1.09267,1.09318,1.09299,1.09243,1.09224,1.09278,1.09258,2024-03-13T00:00:00.000000Z
1.09278,1.09258,1.09328,1.09308,1.09219,1.09199,1.09288,1.09268,2024-03-13T04:00:00.000000Z
1.09431,1.09411,1.09469,1.09449,1.09212,1.09192,1.09277,1.09257,2024-03-13T08:00:00.000000Z
1.09444,1.09424,1.09485,1.09465,1.09322,1.09302,1.09431,1.09411,2024-03-13T12:00:00.000000Z
1.09483,1.09463,1.0965,1.0963,1.0941,1.0939,1.09443,1.09423,2024-03-13T16:00:00.000000Z
1.09541,1.09521,1.09551,1.09521,1.09481,1.09459,1.09484,1.09464,2024-03-13T20:00:00.000000Z
1.09434,1.09414,1.09558,1.09538,1.09424,1.09404,1.09542,1.09522,2024-03-14T00:00:00.000000Z
1.09364,1.09344,1.09442,1.09422,1.09328,1.09308,1.09434,1.09414,2024-03-14T04:00:00.000000Z
1.09426,1.09406,1.09464,1.09444,1.09363,1.09343,1.09364,1.09344,2024-03-14T08:00:00.000000Z
1.08888,1.08868,1.09459,1.09439,1.08838,1.08818,1.09426,1.09406,2024-03-14T12:00:00.000000Z
1.08921,1.08901,1.08937,1.08917,1.08817,1.08797,1.08888,1.08868,2024-03-14T16:00:00.000000Z
1.08837,1.08817,1.0893,1.0891,1.08835,1.08815,1.08921,1.08901,2024-03-14T20:00:00.000000Z
1.0878,1.0876,1.08856,1.08836,1.0874,1.0872,1.08839,1.08819,2024-03-15T00:00:00.000000Z
1.08818,1.08798,1.0886,1.0884,1.08744,1.08724,1.08779,1.08759,2024-03-15T04:00:00.000000Z
1.08947,1.08927,1.09007,1.08988,1.0879,1.0877,1.08818,1.08798,2024-03-15T08:00:00.000000Z
1.08887,1.08867,1.08959,1.08939,1.08823,1.08803,1.08948,1.08928,2024-03-15T12:00:00.000000Z
1.08902,1.08882,1.08925,1.08905,1.08845,1.08825,1.08886,1.08866,2024-03-15T16:00:00.000000Z
1.0889,1.0887,1.08913,1.08893,1.08875,1.08855,1.08904,1.08884,2024-03-15T20:00:00.000000Z
1.08912,1.08846,1.08999,1.08937,1.08911,1.08754,1.08945,1.0884,2024-03-17T16:00:00.000000Z
1.08849,1.08829,1.08948,1.0892,1.08827,1.08773,1.08912,1.08847,2024-03-17T20:00:00.000000Z
1.08863,1.08843,1.08928,1.08908,1.08815,1.08795,1.08849,1.08829,2024-03-18T00:00:00.000000Z
1.08933,1.08913,1.08976,1.08956,1.08863,1.08843,1.08864,1.08844,2024-03-18T04:00:00.000000Z
1.09033,1.09013,1.09071,1.09051,1.08919,1.08899,1.08932,1.08912,2024-03-18T08:00:00.000000Z
1.08862,1.08842,1.0906,1.0904,1.0882,1.088,1.09034,1.09014,2024-03-18T12:00:00.000000Z
1.08704,1.08684,1.08862,1.08842,1.08671,1.08651,1.08862,1.08842,2024-03-18T16:00:00.000000Z
1.08744,1.08724,1.0878,1.08734,1.08702,1.08682,1.08704,1.08684,2024-03-18T20:00:00.000000Z
1.08749,1.08729,1.08774,1.08754,1.08678,1.08658,1.08745,1.08725,2024-03-19T00:00:00.000000Z
1.08558,1.08538,1.08776,1.08756,1.08529,1.08509,1.0875,1.0873,2024-03-19T04:00:00.000000Z
1.08515,1.08495,1.08573,1.08553,1.08357,1.08337,1.08559,1.08539,2024-03-19T08:00:00.000000Z
1.08593,1.08573,1.08665,1.08645,1.08467,1.08447,1.08514,1.08494,2024-03-19T12:00:00.000000Z
1.0866,1.0864,1.08686,1.08666,1.08555,1.08535,1.08593,1.08573,2024-03-19T16:00:00.000000Z
1.08629,1.08609,1.08682,1.08665,1.08627,1.08607,1.0866,1.0864,2024-03-19T20:00:00.000000Z
1.08711,1.08691,1.08723,1.08703,1.08592,1.08572,1.08629,1.08609,2024-03-20T00:00:00.000000Z
1.08664,1.08644,1.08732,1.08712,1.0866,1.0864,1.0871,1.0869,2024-03-20T04:00:00.000000Z
1.08436,1.08416,1.08664,1.08644,1.08375,1.08355,1.08664,1.08644,2024-03-20T08:00:00.000000Z
1.08556,1.08536,1.08572,1.08553,1.08382,1.08362,1.08435,1.08415,2024-03-20T12:00:00.000000Z
1.09221,1.09201,1.0924,1.0922,1.08546,1.08526,1.08557,1.08537,2024-03-20T16:00:00.000000Z
1.09385,1.09365,1.09386,1.09366,1.09197,1.09167,1.09222,1.09202,2024-03-20T20:00:00.000000Z
1.0936,1.0934,1.094,1.0938,1.09315,1.09295,1.09386,1.09366,2024-03-21T00:00:00.000000Z
1.09299,1.09279,1.09437,1.09417,1.09266,1.09246,1.0936,1.0934,2024-03-21T04:00:00.000000Z
1.09107,1.09087,1.09299,1.09279,1.08883,1.08863,1.09299,1.09279,2024-03-21T08:00:00.000000Z
1.08615,1.08595,1.09182,1.09162,1.08567,1.08547,1.09106,1.09086,2024-03-21T12:00:00.000000Z
1.08576,1.08556,1.08671,1.08651,1.08563,1.08543,1.08616,1.08596,2024-03-21T16:00:00.000000Z
1.08632,1.08612,1.08642,1.08622,1.08576,1.08556,1.08577,1.08557,2024-03-21T20:00:00.000000Z
1.08388,1.08368,1.08693,1.08673,1.08371,1.08351,1.08631,1.08611,2024-03-22T00:00:00.000000Z
1.08259,1.08239,1.08431,1.08411,1.08221,1.08201,1.08388,1.08368,2024-03-22T04:00:00.000000Z
1.08172,1.08152,1.08309,1.08289,1.08092,1.08072,1.08259,1.08239,2024-03-22T08:00:00.000000Z
1.08168,1.08148,1.08329,1.08309,1.08113,1.08093,1.08173,1.08153,2024-03-22T12:00:00.000000Z
1.08066,1.08046,1.08182,1.08162,1.08027,1.08007,1.08168,1.08148,2024-03-22T16:00:00.000000Z
1.08085,1.08063,1.0811,1.08088,1.0806,1.0804,1.08066,1.08046,2024-03-22T20:00:00.000000Z
1.08085,1.08059,1.08172,1.08105,1.08064,1.08004,1.08131,1.08004,2024-03-24T16:00:00.000000Z
1.08082,1.08062,1.08117,1.08096,1.08062,1.08037,1.08085,1.08059,2024-03-24T20:00:00.000000Z
1.08148,1.08128,1.08233,1.08213,1.08031,1.08011,1.08083,1.08063,2024-03-25T00:00:00.000000Z
1.08148,1.08128,1.0824,1.0822,1.08116,1.08096,1.08148,1.08128,2024-03-25T04:00:00.000000Z
1.08294,1.08274,1.08306,1.08286,1.08082,1.08062,1.08148,1.08128,2024-03-25T08:00:00.000000Z
1.08375,1.08355,1.08435,1.08415,1.0829,1.0827,1.08293,1.08273,2024-03-25T12:00:00.000000Z
1.08401,1.08381,1.08411,1.08391,1.08341,1.08322,1.08374,1.08354,2024-03-25T16:00:00.000000Z
1.08383,1.08363,1.08419,1.08399,1.08367,1.08332,1.08401,1.08381,2024-03-25T20:00:00.000000Z
1.08379,1.08359,1.08468,1.08448,1.08369,1.08349,1.08383,1.08363,2024-03-26T00:00:00.000000Z
1.08434,1.08414,1.08539,1.08519,1.08376,1.08356,1.0838,1.0836,2024-03-26T04:00:00.000000Z
1.08578,1.08558,1.08653,1.08633,1.08396,1.08376,1.08433,1.08413,2024-03-26T08:00:00.000000Z
1.08292,1.08272,1.08607,1.08587,1.08262,1.08242,1.08579,1.08559,2024-03-26T12:00:00.000000Z
1.08295,1.08275,1.08366,1.08346,1.08252,1.08232,1.08292,1.08272,2024-03-26T16:00:00.000000Z
1.08336,1.08316,1.08347,1.08327,1.08294,1.08274,1.08296,1.08276,2024-03-26T20:00:00.000000Z
1.08274,1.08254,1.08339,1.08319,1.08215,1.08195,1.08336,1.08316,2024-03-27T00:00:00.000000Z
1.08273,1.08253,1.08348,1.08328,1.0824,1.0822,1.08274,1.08254,2024-03-27T04:00:00.000000Z
1.0822,1.082,1.08401,1.08381,1.08189,1.08169,1.08273,1.08253,2024-03-27T08:00:00.000000Z
1.08219,1.08199,1.08237,1.08217,1.08118,1.08098,1.0822,1.082,2024-03-27T12:00:00.000000Z
1.08283,1.08263,1.08285,1.08265,1.08183,1.08163,1.08218,1.08198,2024-03-27T16:00:00.000000Z
1.08135,1.08115,1.08301,1.08281,1.08111,1.08091,1.08282,1.08262,2024-03-27T20:00:00.000000Z
1.08228,1.08208,1.08273,1.08253,1.08091,1.08071,1.08136,1.08116,2024-03-28T00:00:00.000000Z
1.0802,1.08,1.08276,1.08256,1.08013,1.07993,1.08227,1.08207,2024-03-28T04:00:00.000000Z
1.0785,1.0783,1.08031,1.08011,1.07761,1.0774,1.0802,1.08,2024-03-28T08:00:00.000000Z
1.08026,1.08006,1.08202,1.08182,1.07846,1.07826,1.0785,1.0783,2024-03-28T12:00:00.000000Z
1.0789,1.0787,1.08063,1.08043,1.07856,1.07836,1.08025,1.08005,2024-03-28T16:00:00.000000Z
1.07921,1.07901,1.07955,1.0793,1.07861,1.07841,1.0789,1.0787,2024-03-28T20:00:00.000000Z
1.07756,1.07736,1.07924,1.07903,1.07749,1.07729,1.0792,1.079,2024-03-29T00:00:00.000000Z
1.07695,1.07675,1.07842,1.07822,1.0769,1.0767,1.07755,1.07735,2024-03-29T04:00:00.000000Z
1.07884,1.07861,1.07932,1.07912,1.07694,1.07674,1.07694,1.07674,2024-03-29T08:00:00.000000Z
1.07935,1.07915,1.0807,1.0805,1.07825,1.07788,1.07885,1.0786,2024-03-29T12:00:00.000000Z
