CloseAsk,CloseBid,HighAsk,HighBid,LowAsk,LowBid,OpenAsk,OpenBid,Time
1.09263,1.09243,1.09692,1.0947,1.09156,1.09136,1.09692,1.09345,2024-03-11T00:00:00.000000Z
1.09272,1.09252,1.09451,1.09431,1.09033,1.09016,1.09271,1.09251,2024-03-12T00:00:00.000000Z
1.09491,1.09471,1.0965,1.0963,1.09212,1.09192,1.09274,1.09254,2024-03-13T00:00:00.000000Z
1.08846,1.08826,1.09558,1.09538,1.08817,1.08797,1.09548,1.09503,2024-03-14T00:00:00.000000Z
1.0889,1.0887,1.09008,1.08988,1.0874,1.0872,1.08843,1.08823,2024-03-15T00:00:00.000000Z
1.08734,1.08714,1.09071,1.09051,1.08671,1.08651,1.08945,1.0884,2024-03-18T00:00:00.000000Z
1.08668,1.08648,1.0878,1.08756,1.08357,1.08337,1.08743,1.08717,2024-03-19T00:00:00.000000Z
1.09234,1.09214,1.0924,1.0922,1.08375,1.08355,1.08663,1.08643,2024-03-20T00:00:00.000000Z
1.08609,1.08589,1.09437,1.09417,1.08563,1.08543,1.09213,1.09186,2024-03-21T00:00:00.000000Z
1.08085,1.08063,1.08693,1.08673,1.08027,1.08007,1.08605,1.08585,2024-03-22T00:00:00.000000Z
1.08384,1.08364,1.08435,1.08415,1.08031,1.08004,1.08131,1.08004,2024-03-25T00:00:00.000000Z
1.08322,1.08302,1.08653,1.08633,1.08252,1.08232,1.08385,1.08365,2024-03-26T00:00:00.000000Z
1.08288,1.08268,1.08401,1.08381,1.08118,1.08098,1.08326,1.08306,2024-03-27T00:00:00.000000Z
1.07887,1.07867,1.0829,1.0827,1.0776,1.0774,1.08265,1.08228,2024-03-28T00:00:00.000000Z
1.07949,1.07915,1.0807,1.0805,1.0769,1.0767,1.07907,1.07865,2024-03-29T00:00:00.000000Z
1.0744,1.0742,1.08002,1.0798,1.07319,1.07299,1.08002,1.07834,2024-04-01T00:00:00.000000Z
1.07706,1.07686,1.07802,1.07782,1.07257,1.07237,1.07425,1.0739,2024-04-02T00:00:00.000000Z
1.08371,1.08351,1.08379,1.08359,1.07652,1.07632,1.07714,1.07694,2024-04-03T00:00:00.000000Z
1.08386,1.08366,1.08777,1.08757,1.08328,1.08308,1.08349,1.08324,2024-04-04T00:00:00.000000Z
1.08393,1.08365,1.0849,1.0847,1.07924,1.07904,1.08382,1.08333,2024-04-05T00:00:00.000000Z
1.08604,1.08584,1.08635,1.08615,1.08219,1.08199,1.08399,1.0835,2024-04-08T00:00:00.000000Z
1.08578,1.08558,1.08863,1.08843,1.08486,1.08466,1.086,1.0856,2024-04-09T00:00:00.000000Z
1.07434,1.07414,1.0868,1.08656,1.07299,1.07279,1.08586,1.08557,2024-04-10T00:00:00.000000Z
1.07271,1.07251,1.07577,1.07557,1.07002,1.06982,1.07453,1.07414,2024-04-11T00:00:00.000000Z
1.06426,1.06406,1.07303,1.07283,1.06237,1.06217,1.07303,1.07264,2024-04-12T00:00:00.000000Z
1.06254,1.06234,1.06661,1.06641,1.06212,1.06192,1.06438,1.06335,2024-04-15T00:00:00.000000Z
1.06201,1.06181,1.06548,1.06528,1.0602,1.06,1.06263,1.06228,2024-04-16T00:00:00.000000Z
1.06737,1.06717,1.06806,1.06786,1.06071,1.06051,1.06225,1.06158,2024-04-17T00:00:00.000000Z
1.06448,1.06428,1.06912,1.06892,1.06424,1.06404,1.06738,1.06718,2024-04-18T00:00:00.000000Z
1.06577,1.06557,1.06787,1.06767,1.06114,1.06094,1.06474,1.06427,2024-04-19T00:00:00.000000Z
1.06549,1.06529,1.06717,1.06697,1.06249,1.06229,1.06709,1.06355,2024-04-22T00:00:00.000000Z
1.07034,1.07014,1.07124,1.07104,1.06394,1.06374,1.0656,1.06526,2024-04-23T00:00:00.000000Z
1.07,1.0698,1.07154,1.07134,1.0679,1.0677,1.07043,1.07018,2024-04-24T00:00:00.000000Z
1.07311,1.07291,1.07422,1.07396,1.06792,1.06772,1.06994,1.06965,2024-04-25T00:00:00.000000Z
1.06943,1.06923,1.07539,1.07519,1.06748,1.06728,1.07304,1.07281,2024-04-26T00:00:00.000000Z
1.07208,1.07188,1.07346,1.07326,1.06903,1.06784,1.07018,1.06786,2024-04-29T00:00:00.000000Z
